customer_id,customer_name,customer_gender,customer_age,education_level,kids_home,teens_home,total_children,has_children,year_first_transaction,years_tenure,distinct_stores_visited,number_complaints,typical_hour,time_of_day,lifetime_total_distinct_products,percentage_of_products_bought_promotion,lifetime_spend_groceries,lifetime_spend_vegetables,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_meat_fish,lifetime_spend_electronics_videogames,lifetime_spend_electronics,lifetime_spend_videogames,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_hygiene,lifetime_spend_petfood,total_spend,perc_spend_vegetables,perc_spend_meat_fish,perc_spend_petfood,perc_spend_tech_entertainment,perc_spend_groceries,perc_alcohol_drinks,latitude,longitude,total_trips,total_items_bought,average_basket_size,max_basket_size,min_basket_size,unique_products_bought
3,Crystal Kitchens,female,56,Bsc,1,1,2,1,2020,6,3,1,10,Morning,189,0.631598739079086,11731.0,373.0,28.0,213.0,241.0,4809.0,4553.0,256.0,323.0,177.0,552.0,384.0,18590.0,0.02006455083377081,0.012963959117798298,0.020656266810101853,0.2586874663796349,0.6310381925763147,0.35399999999292,38.79442787189893,-9.21573941941328,2,21,10.5,11,10,21
4,Glenda Bauman,female,51,Bsc,1,0,1,1,2013,13,2,0,10,Morning,130,0.1498902493395143,13694.0,2012.0,43.0,15.0,58.0,1296.0,963.0,333.0,533.0,95.0,1880.0,665.0,20233.0,0.09944150644981,0.002866604062668479,0.03286709830473342,0.06405377353824739,0.6768151040376232,0.15127388534790964,38.75171109471023,-9.17961146619482,2,24,12.0,12,12,20
5,Antonio Campbell,male,55,Msc,0,0,0,0,2005,21,2,1,11,Morning,81,0.0691255069323915,12407.0,555.0,1265.0,273.0,1538.0,101.0,0.0,101.0,101.0,118.0,507.0,222.0,15549.0,0.03569361373719487,0.09891311338343371,0.014277445494877947,0.006495594571994021,0.7979291272745527,0.5388127853635245,38.7806775225494,-9.16065569234224,1,8,8.0,8,8,8
7,John Kelling,male,44,Unknown,0,0,0,0,2021,5,1,2,18,Evening,92,0.253609260797035,7493.0,84.0,972.0,1083.0,2055.0,2761.0,1105.0,1656.0,757.0,1133.0,485.0,184.0,14952.0,0.00561797752808613,0.13743980738353567,0.012306046013902951,0.18465757089340243,0.5011369716422545,0.5994708994677277,38.7395484361888,-9.14867873262084,1,4,4.0,4,4,4
9,Nadine Garcia,female,58,Msc,1,1,2,1,2011,15,6,1,6,Morning,84,0.1506456602849799,16530.0,1708.0,27.0,76.0,103.0,1381.0,1156.0,225.0,406.0,363.0,513.0,0.0,21004.0,0.08131784422010982,0.004903827842313415,0.0,0.06574938107024102,0.7869929537227256,0.47204161247760673,38.73557687527516,-9.172423167155566,2,20,10.0,14,6,20
10,Franklin Alba,male,55,Phd,2,1,3,1,2014,12,1,0,9,Morning,202,0.2754122773297123,22240.0,1284.0,1397.0,1723.0,3120.0,203.0,0.0,203.0,538.0,1970.0,886.0,119.0,30360.0,0.04229249011856314,0.10276679841893847,0.003919631093542846,0.006686429512514266,0.7325428194990999,0.7854864433780483,38.73032247703208,-9.144022385203078,9,66,7.33,12,3,46
14,Arron Burgener,male,78,Msc,1,0,1,1,2017,9,3,1,12,Afternoon,57,0.1973528031772604,7981.0,1659.0,148.0,24.0,172.0,2329.0,2151.0,178.0,799.0,125.0,1393.0,90.0,14548.0,0.1140362936485331,0.011822930987069134,0.0061864173769547795,0.1600907341214187,0.5485977453941788,0.1352813852799212,38.78881949407391,-9.184157680069834,6,61,10.17,17,4,48
15,Henry Thompson,male,77,Bsc,0,1,1,1,2014,12,3,0,7,Morning,154,0.1113161982340499,7237.0,1807.0,304.0,176.0,480.0,744.0,591.0,153.0,507.0,42.0,2312.0,441.0,13570.0,0.13316138540889227,0.03537214443623038,0.032498157700786665,0.05482682387615709,0.5333087693437485,0.07650273223904366,38.760359275134725,-9.07835954778907,5,32,6.4,12,2,29
16,Charlene Baird,female,26,Bsc,0,0,0,0,2021,5,7,1,15,Afternoon,37,1.0,11107.0,620.0,1094.0,487.0,1581.0,197.0,108.0,89.0,162.0,182.0,607.0,683.0,15139.0,0.04095382786178681,0.10443226104755635,0.04511526520903288,0.01301274853027742,0.7336680097755903,0.5290697674264805,38.78541245732896,-9.152032204165351,3,34,11.33,13,10,33
18,Bruno Goldbeck,male,29,Unknown,0,1,1,1,2018,8,1,2,20,Evening,134,0.4091402734153587,10490.0,104.0,1249.0,737.0,1986.0,14339.0,13672.0,667.0,574.0,705.0,205.0,550.0,28953.0,0.0035920284599165572,0.06859392809032963,0.018996304355327946,0.4952509239109953,0.36231133215889116,0.5512118842802877,38.74600841010293,-9.15622923060766,8,75,9.38,14,2,49
19,Evelyn Quinn,female,79,Phd,1,2,3,1,2007,19,3,3,19,Evening,65,0.157528602099963,8264.0,266.0,1024.0,1405.0,2429.0,1828.0,1660.0,168.0,399.0,514.0,819.0,533.0,15052.0,0.017672070156778054,0.16137390380005223,0.035410576667528955,0.12144565506236948,0.5490300292316309,0.5629791894790473,38.78699922945693,-9.135196125512602,7,71,10.14,14,7,59
20,Arlene Hernandez,female,81,Msc,1,0,1,1,2017,9,5,1,20,Evening,253,0.4308490612060748,35044.0,395.0,1000.0,910.0,1910.0,363.0,78.0,285.0,567.0,621.0,1560.0,255.0,40715.0,0.009701584182731255,0.04691145769371315,0.006263048016699924,0.00891563305906695,0.8607147243028711,0.5227272727228727,38.75274681712484,-9.135250341406646,3,19,6.33,8,5,19
22,James Kolodziej,male,83,Bsc,1,1,2,1,2019,7,3,1,14,Afternoon,205,0.0320563109521218,15333.0,1325.0,117.0,150.0,267.0,983.0,883.0,100.0,551.0,257.0,2057.0,473.0,21246.0,0.062364680410400844,0.012567071448737378,0.022263014214429885,0.04626753271201813,0.7216887884774914,0.31806930692675656,38.75658242562309,-9.15436602277348,15,158,10.53,17,5,107
24,Linda Bryant,female,60,Phd,1,1,2,1,2012,14,2,0,17,Afternoon,139,0.0660401921930587,20270.0,2118.0,40.0,53.0,93.0,2054.0,1816.0,238.0,507.0,408.0,890.0,342.0,26682.0,0.07937935686977012,0.003485495839890756,0.01281762986282407,0.07698073607672701,0.7596881792966196,0.44590163933938903,38.74710885689428,-9.186784838800778,9,79,8.78,15,3,59
25,Tom Fisher,male,25,Phd,0,0,0,0,2021,5,2,0,8,Morning,61,0.6532370294994334,8829.0,0.0,1028.0,758.0,1786.0,820.0,345.0,475.0,121.0,1657.0,91.0,44.0,13348.0,0.0,0.1338028169013082,0.0032963739886100562,0.061432424333187415,0.661447407850868,0.9319460067439149,38.70758994916797,-9.161818002552854,3,31,10.33,13,8,28
26,Jeffery Brown,male,35,Bsc,2,1,3,1,2019,7,4,1,11,Morning,126,0.2331716143295922,71986.0,126.0,532.0,920.0,1452.0,3918.0,3650.0,268.0,721.0,739.0,1101.0,499.0,80542.0,0.00156440118199181,0.018027861240096095,0.006195525315983438,0.048645427230507236,0.893769710213194,0.506164383558177,38.727745834323656,-9.185483625264848,4,50,12.5,16,11,39
